"Story","Title","Result","Date","Stability","Duration (s)"
"Herokuapp Booker Application","CRUD Test","SUCCESS","2023-01-11T20:40:59.266Z[Europe/London]","0.0","4.0"
"Testing different request on the restful booker app","As a user I create booking","SUCCESS","2023-01-11T20:41:03.429Z[Europe/London]","0.0","0.57"
"Testing different request on the restful booker app","As a user I check that booking is created","SUCCESS","2023-01-11T20:41:04.046Z[Europe/London]","0.0","0.64"
"Testing different request on the restful booker app","As a user I update booking","SUCCESS","2023-01-11T20:41:04.744Z[Europe/London]","0.0","1.13"
"Testing different request on the restful booker app","As a user I delete booking","SUCCESS","2023-01-11T20:41:05.943Z[Europe/London]","0.0","1.11"
"Create booking with data driven","Data driven test for adding multiple booking to the application","SUCCESS","2023-01-11T20:40:54.794Z[Europe/London]","0.0","167.92"
"Tag test","Correct HTTP method is used to access resources","SUCCESS","2023-01-11T20:40:57.535Z[Europe/London]","0.0","0.56"
"Tag test","Incorrect HTTP method used to access resources and validate response 405","SUCCESS","2023-01-11T20:40:58.099Z[Europe/London]","0.0","0.53"
"Tag test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-11T20:40:58.631Z[Europe/London]","0.0","0.54"
